Name,IATA
Belair Airlines,4T
Bahamasair,UP
Bringer Air Cargo Taxi Aereo,E6
Balkan Bulgarian Airlines,LZ
BA Connect,TH
British International Helicopters,BS
Bankair,B4
Bangkok Airways,PG
Blue1,KF
Bearskin Lake Air Service,JV
Bellview Airlines,B3
bmi,BD
bmibaby,WW
Bemidji Airlines,CH
Bismillah Airlines,5Z
Bouraq Indonesia Airlines,BO
Blue Panorama Airlines,BV
BRA-Transportes Aereos,7R
Bering Air,8E
Belavia Belarusian Airlines,B2
Bravo Air Congo,K6
Braniff International Airways,BN
Big Sky Airlines,GQ
BAL Bashkirian Airlines,V9
Metro Batavia,7P
Berjaya Air,J8
Blue Wings,QW
BAX Global,8W
Bayu Indonesia Air,BM
Brit Air,DB
Boston-Maine Airways,E9
Brussels Airlines,SN
Binter Canarias,NT
Blue Air,0B
British Mediterranean Airways,KJ
Bulgaria Air,FB
Barents AirLink,8N
CAL Cargo Air Lines,5C
CHC Airways,AW
Calima Aviacion,XG
Calm Air,MO
Camai Air,R9
Cameroon Airlines,UY
CanJet,C6
Canadian Airlines,CP
Canadian North,5T
Canadian Western Airlines,W2
Cape Air,9K
Capital Cargo International Airlines,PT
Cargo 360,GG
Cargoitalia,2G
Cargojet Airways,W8
Cargolux,CV
Caribbean Airlines,BW
Caribbean Star Airlines,8B
Carpatair,V3
Caspian Airlines,RV
Cathay Pacific,CX
Cayman Airways,KX
Cebu Pacific,5J
Centavia,7N
Centralwings,C0
Centre-Avia,J7
Centurion Air Cargo,WE
Chalk's Ocean Airways,OP
Champion Air,MG
Changan Airlines,2Z
Chari Aviation Services,S8
Chautauqua Airlines,RP
Chicago Express,C8
China Airlines,CI
China Cargo Airlines,CK
China Eastern Airlines,MU
China Northern Airlines,CJ
China Northwest Airlines,WH
China Postal Airlines,8Y
China Southern Airlines,CZ
China United Airlines,HR
China Xinhua Airlines,XO
Yunnan Airlines,3Q
Chitaavia,X7
Cielos Airlines,A2
Cimber Air,QI
Cirrus Airlines,C9
City Airline,CF
City Connexion Airlines,G3
CityJet,WX
BA CityFlyer,CJ
Civil Air Transport,CT
Club Air,6P
Coast Air,BX
Coastal Air,DQ
Colgan Air,9L
Comair,OH
Comair,MN
CommutAir,C5
Comores Airlines,KR
Compania Mexicargo,GJ
Compass Airlines,CP
Condor Flugdienst,DE
Consorcio Aviaxsa,6A
Contact Air,C3
Continental Airlines,CO
Continental Airways,PC
Continental Express,CO
Continental Micronesia,CS
Conviasa,V0
Copa Airlines,CM
Corsairfly,SS
Corse-Mediterranee,XK
Cosmic Air,F5
Croatia Airlines,OU
Crossair Europe,QE
Cubana de Aviación,CU
Cyprus Airways,CY
Cyprus Turkish Airlines,YK
Czech Airlines,OK
DAS Air Cargo,WD
DAT Danish Air Transport,DX
DHL International,ES
DHL de Guatemala,L3
Daallo Airlines,D3
Dagestan Airlines,N2
Dalavia,H8
Darwin Airline,0D
Dauair,D5
Delta Air Lines,DL
Deutsche Bahn,2A
Deutsche Rettungsflugwacht,1I
Dinar,D7
Dirgantara Air Service,AW
Discovery Airways,DH
Djibouti Airlines,D8
Dominicana de Aviaci,DO
Domodedovo Airlines,E3
DonbassAero,5D
Dragonair,KA
Druk Air,KB
dba,DI
Electronic Data Systems,1C
EUjet,VE
EVA Air,BR
Eagle Air,H7
East African,QU
East African Safari Air,S9
Eastern Airways,T3
Eastland Air,DK
Eastwind Airlines,W9
Edelweiss Air,WK
Egyptair,MS
El Al Israel Airlines,LY
El-Buraq Air Transport,UZ
Emirates,EK
Empire Airlines,EM
Empresa Ecuatoriana De Aviacion,EU
Enkor JSC,G8
Eos Airlines,E0
Eritrean Airlines,B8
Estafeta Carga Aerea,E7
Estonian Air,OV
Ethiopian Airlines,ET
Etihad Airways,EY
Euro Exec Express,RZ
Eurocypria Airlines,UI
Eurofly Service,GJ
Eurolot,K2
Euromanx Airways,3W
European Air Express,EA
European Air Transport,QY
European Aviation Air Charter,E7
Eurowings,EW
Evergreen International Airlines,EZ
Excel Airways,JN
Execair Aviation,MB
Executive Airlines,OW
Expo Aviation,8D
Express One International,EO
ExpressJet,XE
easyJet,U2
Falcon Aviation,IH
Far Eastern Air Transport,EF
Faroejet,F6
Faso Airways,F3
Federal Express,FX
Fika Salaama Airlines,N8
Finalair Congo,4S
Finnair,AY
Finncomm Airlines,FC
Firefly,FY
First Air,7F
First Choice Airways,DP
Fischer Air,8F
Flightline,B5
Florida Coastal Airlines,PA
Florida West International Airways,RF
Fly Air,F2
Fly Me Sweden,SH
AirAsia X,D7
FlyLal,TE
FlyNordic,LF
Flybaboo,F7
Flybe,BE
Flyglobespan,B4
Formosa Airlines,VY
Forward Air International Airlines,BN
Four Star Aviation / Four Star Cargo,HK
Freedom Air,FP
Frontier Airlines,F9
Frontier Flying Service,2F
Futura International Airways,FH
GB Airways,GT
Galaxy Air,7O
Galileo International,1G
Gambia International Airlines,GC
Gandalf Airlines,G7
Garuda Indonesia,GA
Gazpromavia,4G
Gemini Air Cargo,GR
Georgian Airways,A9
Georgian National Airlines,QB
Germania,ST
Germanwings,4U
Gestair,GP
Ghana International Airlines,G0
Go Air,G8
Go One Airways,GK
GoJet Airlines,G7
Gol Transportes Aéreos,G3
Golden Air,DC
Gorkha Airlines,G1
Grant Aviation,GS
Great Lakes Airlines,ZK
Great Wall Airlines,IJ
Grupo TACA,TA
Guine Bissaur Airlines,G6
Guinee Airlines,J9
Gujarat Airways,G8
Gulf Air Bahrain,GF
Guyana Airways 2000,GY
Hageland Aviation Services,H6
Hahn Air,HR
Hainan Airlines,HU
Hainan Phoenix Information Systems,1R
Haiti Ambassador Airlines,2T
Hamburg International,4R
TUIfly,X3
Hapagfly,HF
Harbor Airlines,HB
Harmony Airways,HQ
Hawaiian Airlines,HA
Hawaiian Pacific Airlines,HP
Hawkair,BH
Heavylift Cargo Airlines,HN
Heli France,8H
Helijet,JB
Helios Airways,ZU
Hellas Jet,T4
Hello,HW
Helvetic Airways,2L
Hemus Air,DU
Hewa Bora Airways,EO
Hex'Air,UD
Hi Fly,5K
Hokkaido International Airlines,HD
Hola Airlines,H5
Hong Kong Airlines,HX
Hong Kong Express Airways,UO
Hope Air,HH
Horizon Air,QX
Horizon Airlines,BN
Héli Sécurité Helicopter Airlines,H4
IBC Airways,II
ICAR Airlines,C3
INFINI Travel Information,1F
ITA Software,1U
Iberia Airlines,IB
Iberworld,TY
Ibex Airlines,FW
Icelandair,FI
Imair Airlines,IK
Independence Air,DH
IndiGo Airlines,6E
Indian Airlines,IC
Indigo,I9
Indonesia AirAsia,QZ
Indonesian Airlines,IO
InteliJet Airways,IJ
Inter Islands Airlines,H4
Interair South Africa,D6
Interavia Airlines,ZA
Intercontinental de Aviaci,RS
Interlink Airlines,ID
International Business Air,6I
Intersky,3L
Interstate Airline,I4
Iran Air,IR
Iran Aseman Airlines,EP
Iraqi Airways,IA
Island Airlines,IS
Island Express,2S
Cargo Plus Aviation,8L
Islands Nationair,CN
Islas Airways,IF
Islena De Inversiones,WC
Israir,6H
Itali Airlines,9X
Itek Air,GI
Izair,H9
JAL Express,JC
JALways,JO
JSC Transport Automated Information Systems,1M
Japan Airlines,JL
Japan Airlines Domestic,JL
Japan Asia Airways,EG
Japan Transocean Air,NU
Jat Airways,JU
Jatayu Airlines,VJ
Jazeera Airways,J9
Jeju Air,7C
Jet Airways,9W
Jet Airways,QJ
Jetclub,0J
Jetstar Asia Airways,3K
Jet2.com,LS
Jet4You,8J
JetBlue Airways,B6
Jetairfly,JF
Jetclub,0J
JetsGo,SG
Jetstar Airways,JQ
Jett8 Airlines Cargo,JX
Jetx Airlines,GX
Jordan Aviation,R5
Juneyao Airlines,HO
KD Avia,KD
KLM Cityhopper,WA
KLM Royal Dutch Airlines,KL
Kabo Air,N2
Kalitta Air,K4
Kam Air,RQ
Kampuchea Airlines,E2
Karat,V2
Kavminvodyavia,KV
Kenmore Air,M5
Kenya Airways,KQ
Keystone Air Services,BZ
Kingfisher Airlines,IT
Kish Air,Y9
Kiwi International Air Lines,KP
Kogalymavia Air Company,7K
Komiinteravia,8J
Korean Air,KE
Krasnojarsky Airlines,7B
Krylo Airlines,K9
Kuban Airlines,GW
Kunpeng Airlines,VD
Kuwait Airways,KU
Kuzu Airlines Cargo,GO
Kyrgyz Airlines,N5
Kyrgyzstan,QH
Kyrgyzstan Airlines,R8
Kibris T,KY
L.A.B. Flying Service,JF
LACSA,LR
LAI - Linea Aerea IAACA,KG
LAN Airlines,LA
LAN Argentina,4M
LAN Express,LU
LAN Peru,LP
LOT Polish Airlines,LO
LTE International Airways,XO
LTU Austria,L3
LTU International,LT
Lagun Air,N6
Lankair,IK
Lao Airlines,QV
Laoag International Airlines,L7
Lauda Air,NG
Lebanese Air Transport,LQ
Leeward Islands Air Transport,LI
Libyan Arab Airlines,LN
Linea Aerea SAPSA,L7
Linea Aerea de Servicio Ejecutivo Regional,8z
Linea Turistica Aerotuy,LD
Lineas Aereas Azteca,ZE
Linhas A,LM
Lion Mentari Airlines,JT
Livingston,LM
Lloyd Aereo Boliviano,LB
Luftfahrtgesellschaft Walter,HE
Lufthansa,LH
Lufthansa Cargo,LH
Lufthansa CityLine,CL
Lufthansa Systems,L1
Lufttaxi Fluggesellschaft,DV
Lufttransport,L5
Luxair,LG
Lviv Airlines,5V
Lynden Air Cargo,L2
L,MJ
MasAir,M7
MAT Macedonian Airlines,IN
MIAT Mongolian Airlines,OM
MNG Airlines,MB
Macair Airlines,CC
Maersk,DM
Mahan Air,W5
Mahfooz Aviation,M2
Malaysia Airlines,MH
Malmö Aviation,TF
Malta Air Charter,R5
Malév,MA
Mandala Airlines,RI
Mandarin Airlines,AE
Mango,JE
Mars RK,6V
Marsland Aviation,M7
Martinair,MP
Mastertop Linhas Aereas,Q4
Mavial Magadan Airlines,H5
Maxair,8M
Maxjet Airways,MY
Maya Island Air,MW
Menajet,IM
Meridiana,IG
Merpati Nusantara Airlines,MZ
Mesa Airlines,YV
Mesaba Airlines,XJ
Mexicana de Aviaci,MX
Miami Air International,GL
Middle East Airlines,ME
Midway Airlines,JI
Midwest Airlines,YX
Midwest Airlines (Egypt),MY
Moldavian Airlines,2M
Monarch Airlines,ZB
Myway Airlines,8I
Montenegro Airlines,YM
Moskovia Airlines,3R
Motor Sich,M9
Mount Cook Airlines,NM
Mountain Air Company,N4
MyTravel Airways,VZ
Myanma Airways,UB
Myanmar Airways International,8M
Nantucket Airlines,DV
Nas Air,P9
Nasair,UE
National Airlines,N4
National Airlines,N7
National Airways Cameroon,9O
National Jet Systems,NC
Nationwide Airlines,CE
Nauru Air Corporation,ON
Navitaire,1N
Nepal Airlines,RA
Neos,NO
NetJets,1I
New England Airlines,EJ
NextJet,2N
Niki,HG
Nippon Cargo Airlines,KZ
Nok Air,DD
Nordeste Linhas Aereas Regionais,JH
Nordic Regional,6N
North Coast Aviation,N9
North Flying,M3
North-Wright Airways,HW
Northern Air Cargo,NC
Northern Dene Airways,U7
Northwest Airlines,NW
Northwest Regional Airlines,FY
Northwestern Air,J3
Norwegian Air Shuttle,DY
Nouvel Air Tunisie,BJ
Nova Airline,M4
Novair,1I
Nuevo Continente,N6
Nas Air,XY
O'Connor Airlines,UQ
OAG,CR
Oasis Hong Kong Airlines,O8
Ocean Airlines,VC
Oceanair,O6
Oceanic Airlines,O2
Olympic Airlines,OA
Oman Air,WY
Omni Air International,OY
Omskavia Airline,N3
Onur Air,8Q
Orenburg Airlines,R2
Orient Thai Airlines,OX
Origin Pacific Airways,QO
Ostfriesische Lufttransport,OL
Our Airline,ON
Overland Airways,OJ
Ozark Air Lines,OZ
Ozjet Airlines,O7
PAN Air,PV
PB Air,9Q
PLUNA,PU
PMTair,U4
Pace Airlines,Y5
Jetstar Pacific,BL
Pacific Blue,DJ
Pacific Coastal Airline,8P
Pacific East Asia Cargo Airlines,Q8
Pacific Southwest Airlines,PS
Pacific Wings,LW
Pacificair,GX
Pakistan International Airlines,PK
Palau Trans Pacific Airline,GP
Palestinian Airlines,PF
Pamir Airways,NR
Pan American Airways,PA
Pan American World Airways,PA
Panafrican Airways,PQ
Pantanal Linhas Aéreas,P8
Paramount Airways,I7
Pearl Airways,HP
Pegasus Airlines,PC
Pegasus Hava Tasimaciligi,1I
Peninsula Airways,KS
Perm Airlines,P9
Philippine Airlines,PR
Phoenix Airways,HP
Phuket Air,9R
Piedmont Airlines (1948-1989),PI
Pinnacle Airlines,9E
Polar Air Cargo,PO
Polynesian Airlines,PH
Polynesian Blue,DJ
Polyot Sirena,1U
Porter Airlines,PD
Portugalia,NI
Potomac Air,BK
Precision Air,PW
President Airlines,TO
Primaris Airlines,FE
Princess Air,8Q
Private Wings Flugcharter,8W
Proflight Commuter Services,P0
Qantas,QF
Qatar Airways,QR
RACSA,R6
Radixx Solutions International,1D
Redhill Aviation,8L
Reem Air,V4
Regional Airlines,FN
Regional Express,ZL
RegionsAir,3C
Reno Air,QQ
Republic Airlines,RW
Republic Express Airlines,RH
Rico Linhas A,C7
Rio Grande Air,E2
Rio Sul Servi,SL
Rossiya,R4
Air Rarotonga,GZ
Royal Air Force,RR
Royal Air Force of Oman,RS
Royal Air Maroc,AT
Royal Airlines,R0
Royal Aruban Airline,V5
Royal Brunei Airlines,BI
Royal Jordanian,RJ
Royal Khmer Airlines,RK
Royal Nepal Airlines,RA
Royal Tongan Airlines,WR
Russian Sky Airlines,P7
Rwandair Express,WB
Ryan International Airlines,RD
Ryanair,FR
Régional,YS
SATA International,S4
South African Airways,SA
Shaheen Air International,NL
Scandinavian Airlines System,SK
S7 Airlines,S7
Seaborne Airlines,BB
SriLankan Airlines,UL
Sun Country Airlines,SY
Sky Express,G3
Spicejet,SG
Sky Eyes,I6
SAETA,EH
Star Flyer,7G
Safair,FA
Skagway Air Service,N5
SATA Air Acores,SP
Scorpio Aviation,8S
Singapore Airlines,SQ
Sibaviatrans,5M
Skynet Airlines,SI
SITA,XS
Sriwijaya Air,SJ
Sama Airlines,ZS
Singapore Airlines Cargo,SQ
Siem Reap Airways,FT
Sky Work Airlines,SX
Swedline Express,SM
South East Asian Airlines,DG
SwedJet Airways,VD
Skyservice Airlines,5G
Servicios de Transportes A,FS
Sudan Airways,SD
Sun Air (Fiji),PI
Sun Air of Scandinavia,EZ
Saudi Arabian Airlines,SV
Southwest Airlines,WN
Southern Winds Airlines,A4
Sunwing Airlines,WG
Swiss International Air Lines,LX
Swissair,SR
Swe Fly,WV
Shovkoviy Shlyah,S8
SunExpress,XQ
Syrian Arab Airlines,RB
Skywalk Airlines,AL
Silk Way Airlines,ZP
Samara Airlines,E5
Shandong Airlines,SC
Spring Airlines,9S
Sichuan Airlines,3U
Shanghai Airlines,FM
Shenzhen Airlines,ZH
Shanxi Airlines,8C
Sun D'Or,7L
SkyEurope,NE
Sunshine Express Airlines,CQ
Superior Aviation,SO
Spanair,JK
San Juan Airlines,2G
Sabre Pacific,1Z
Sabre,1S
Sierra Nevada Airlines,1I
Siren-Travel,1H
Sirena,1Q
Sky Trek International Airlines,1I
Southern Cross Distribution,1K
Sutra,1K
SNCF,2C
Star Equatorial Airlines,2S
Spirit Airlines,NK
SATENA,9R
Slok Air Gambia,S0
Sosoliso Airlines,SO
Sky Trek International Airlines,1I
Skybus Airlines,SX
SkyKing Turks and Caicos Airways,RU
Santa Barbara Airlines,S3
Sky Airline,H2
SkyWest,OO
Skyways Express,JZ
Skymark Airlines,BC
Sierra National Airlines,LJ
SilkAir,MI
Slovak Airlines,6Q
Surinam Airways,PY
Servant Air,8D
Sterling Airlines,NB
Skynet Asia Airways,6J
Solomon Airlines,IE
Saratov Aviation Division,6W
Sat Airlines,HZ
Shuttle America,S5
Scat Air,DV
Sirin,R1
Star Air,S6
TAME,EQ
TAM Brazilian Airlines,JJ
TAP Portugal,TP
Tunisair,TU
TNT Airways,3V
Tropical Airways,M7
Thai Air Cargo,T2
Thomas Cook Airlines,FQ
Thomas Cook Airlines,MT
Tandem Aero,TQ
Teamline Air,L9
Transeuropean Airlines,UE
Titan Airways,ZT
Tiger Airways,TR
Tiger Airways Australia,TT
Thai Airways International,TG
Thai AirAsia,FD
Turkish Airlines,TK
Twin Jet,T7
Thai Sky Airlines,9I
Tulip Air,TD
Trans Mediterranean Airlines,TL
Tri-MG Intra Asia Airlines,GY
Tiara Air,3P
Tobruk Air,7T
Tol-Air Services,TI
Thomsonfly,BY
Tropic Air,PM
Tower Air,FF
TAMPA,QT
TransAsia Airways,GE
Transavia Holland,HV
TACV,VR
TransMeridian Airlines,T9
Transmile Air Services,TH
Trast Aero,S5
Transwest Air,9T
Transaero Airlines,UN
Thai Star Airlines,T9
Turkmenistan Airlines,T5
Tuninter,UG
Tavrey Airlines,T6
Travel Service,QS
Trans World Airlines,TW
Transaviaexport,AL
TUIfly Nordic,6B
TAAG Angola Airlines,DT
Tassili Airlines,SF
TAM Mercosur,PZ
Trans States Airlines,AX
Travelsky Technology,1E
Thalys,2H
Open Skies Consultative Commission,1L
Tarom,RO
Turan Air,3T
TRIP Linhas A,8R
Transports et Travaux A,OF
USA3000 Airlines,U5
United Airlines,UA
United Feeder Service,U2
USA Jet Airlines,U7
Ural Airlines,U6
UM Airlines,UF
Ukrainian Cargo Airways,6Z
United Parcel Service,5X
US Airways,US
UTair Aviation,UT
Uzbekistan Airways,HY
Ukraine International Airlines,PS
US Helicopter Corporation,UH
V Australia Airlines,VA
Valuair,VF
Voyageur Airways,VC
Vietnam Airlines,VN
VIM Airlines,NN
VIA Rail Canada,2R
Viasa,VA
Volaris,Y4
Volga-Dnepr Airlines,VI
Virgin America,VX
Virgin Express,TV
Virgin Nigeria Airways,VK
Virgin Atlantic Airways,VS
Viva Macau,ZG
Volare Airlines,VE
Vueling Airlines,VY
Vladivostok Air,XF
Varig Log,LC
Viaggio Air,VM
Virgin Australia,VA
Virgin Blue,DJ
VRG Linhas Aereas,RG
VASP,VP
VLM Airlines,VG
Wayraper,7W
WebJet Linhas A,WJ
Welcome Air,2W
West Air Sweden,PT
West Coast Air,8O
WestJet,WS
Western Airlines,WA
Westward Airways,CN
Widerøe,WF
Wind Jet,IV
Wings Air,IW
Wings of Alaska,K5
Wizz Air,W6
Wizz Air Hungary,8Z
World Airways,WO
Worldspan,1P
Wright Air Service,8V
XL Airways France,SE
Xiamen Airlines,MF
Xtra Airways,XP
Yamal Airlines,YL
Yangtze River Express,Y8
Yemenia,IY
Zambian Airways,Q3
Zip,3J
Zimex Aviation,C4
Zoom Airlines,Z4
buzz,UK
Maldivian Air Taxi,8Q
Sky Express,XW
Yellow Air Taxi,Y0
Royal Air Cambodge,VJ
Air Mandalay,6T
TAN-SAHSA,SH
Air Busan,BX
TUI Airlines Belgium,TB
Braathens,BU
Globus,GH
Air Kazakhstan,9Y
Japan Air System,JD
Annsett New Zealand (NZA),ZQ
EasyJet (DS),DS
Star Peru (2I),2I
Carnival Air Lines,KW
United Airways,4H
Trans Maldivian Airways,M8
Fly540,5H
Transavia France,TO
Island Air (WP),WP
1-2-go,OG
Uni Air,B7
Gomelavia,YD
Red Wings,WZ
TUIfly (X3),11
Felix Airways,FU
Kostromskie avialinii,K1
Greenfly,XX
Tajik Air,7J
Air Mozambique,TM
Gabon Airlines,GY
Maldivo Airlines,ML
Virgin Pacific,VH
Zest Air,Z2
Yangon Airways,HK
Transport Aérien Transrégional,IJ
Minerva Airlines,N4
Eastar Jet,ZE
Jin Air,LJ
Aéris (Priv),SH
Air Arabia Maroc,3O
Baltic Air lines,B1
Ciel Canadien,YC
Canadian National Airways,CN
Epic Holiday,FA
Air Comet Chile,3I
Nazca,0
Voronezhskie Airlanes,DN
Line Blue,L8
Blue Sky America,BU
Texas Spirit,XS
Illinois Airways,IL
Salzburg arrows,SZ
Texas Wings,TQ
California Western,KT
Dennis Sky,DH
Zz,ZZ
Atifly,A1
Air UK,UK
Suckling Airways,CB
Reno Sky,RY
Ciao Air,99
Birmingham European,VB
Pal airlines,5P
CanXpress,C1
Danube Wings (V5),V5
Sharp Airlines,SH
CanXplorer,C2
Click (Mexicana),QA
World Experience Airline,W1
ALAK,J4
AJT Air International,E9
Air Choice One,3E
China United,KN
Locair,ZQ
Safi Airlines,4Q
SeaPort Airlines,K5
Salmon Air,S6
Fly Illi,IL
Bobb Air Freight,1
Star1 Airlines,V9
Pelita,6D
Alpi Eagles (E8),E8
Alaska Seaplane Service,J5
TAN,T8
MexicanaLink,I6
Island Spirit,IP
TACA Peru,T0
Pan Am World Airways Dominicana,7Q
Primera Air,PF
Air Antilles Express,3S
Regional Paraguaya,P7
VIP Ecuador,V6
Peruvian Airlines,P9
Catovair,OC
Halcyonair,7Z
Business Aviation,4P
Compagnie Africaine d\\'Aviation,E9
Zambia Skyways,K8
AlMasria Universal Airlines,UJ
SmartLynx Airlines,6Y
KoralBlue Airlines,K7
Elysian Airlines,E4
Hellenic Imperial Airways,HT
Amsterdam Airlines,WD
Arik Niger,Q9
Dana Air,DA
STP Airways,8F
Med Airways,7Y
Skyjet Airlines,UQ
Air Volga,G6
Royal Falcon,RL
Euroline,4L
Worldways,WG
Athens Airways,ZF
Viking Hellas,VQ
Starline.kz,DZ
Euro Harmony,EH
Lugansk Airlines,L7
Gryphon Airlines,6P
Gadair European Airlines,GP
Spirit of Manila Airlines,SM
Chongqing Airlines,OQ
West Air China,PN
Falcon Air (IH),IH
QatXpress,C3
OneChina,1C
NordStar Airlines,Y7
